id,fake_timestamp,day,month,year,limit_balance,sex,education_level,marital_status,age,pay_0,pay_2,pay_3,pay_4,pay_5,pay_6,bill_amt_1,bill_amt_2,bill_amt_3,bill_amt_4,bill_amt_5,bill_amt_6,pay_amt_1,pay_amt_2,pay_amt_3,pay_amt_4,pay_amt_5,pay_amt_6,default_payment_next_month,risk_score,equivalent_score
1,2023-10-01,01,10,2023,410000,2,1,1,31,-1,-1,2,2,-2,-2,2744,2041,630,-736,-1591,-2303,2051,5,266,266,253,6384,0,0.241612881,758.3871186
2,2023-10-01,01,10,2023,50000,2,2,1,47,0,0,0,0,0,0,44624,45128,3837,3913,4146,4225,2355,1064,140,296,296,301,1,0.840000987,159.9990129
3,2023-10-01,01,10,2023,50000,1,2,1,25,0,0,0,0,0,0,27699,28513,29341,29928,29533,28538,1565,1393,980,994,1024,886,0,0.185196161,814.8038387
4,2023-10-01,01,10,2023,230000,2,3,2,47,0,0,0,0,0,0,147300,121855,102074,94225,96616,95849,10000,5000,4000,4000,5000,4000,0,0.059062321,940.9376793
5,2023-10-01,01,10,2023,230000,1,1,2,32,0,0,0,0,0,0,44734,47178,29582,38426,42500,43531,10120,20000,10000,5000,5000,5000,0,0.022941055,977.0589452
6,2023-10-01,01,10,2023,230000,1,1,2,29,0,0,2,2,2,0,40732,44563,42804,44020,41278,34672,5000,0,3000,0,3000,3000,0,0.302930683,697.0693171
7,2023-10-01,01,10,2023,50000,2,2,1,27,0,0,0,0,0,0,9877,10800,5921,6042,4012,0,1140,1000,121,0,0,10620,0,0.180864826,819.1351742
8,2023-10-01,01,10,2023,110000,2,2,1,40,1,2,2,2,2,2,92638,90905,95768,97004,99005,101213,600,7300,3700,3700,4000,3800,0,0.459620088,540.3799117
9,2023-10-02,02,10,2023,320000,1,1,1,35,1,-2,-2,-2,-2,-2,291,2594,2691,291,291,291,2594,2691,291,291,291,3124,1,0.840794206,159.2057943
10,2023-10-02,02,10,2023,110000,2,1,2,29,0,0,0,0,0,0,48088,45980,44231,32489,26354,20221,2000,2010,3000,3000,3000,1000,0,0.069191426,930.808574
11,2023-10-02,02,10,2023,230000,1,1,1,43,1,2,2,2,2,2,9462,9701,10277,13148,12834,13861,1000,1000,3000,0,1200,0,0,0.410397947,589.6020532
12,2023-10-02,02,10,2023,200000,1,1,2,42,-2,-2,-2,-2,-2,-2,470,740,3774,836,1325,1440,740,3782,836,1325,1440,506,0,0.126307786,873.6922145
13,2023-10-02,02,10,2023,230000,2,1,2,28,0,0,0,0,0,0,30141,131255,110503,99283,97599,96116,120093,8034,3013,4010,5882,3000,0,0.035635147,964.3648528
14,2023-10-03,03,10,2023,80000,1,3,1,45,0,0,0,0,0,0,26637,26437,26686,28372,28345,27279,1490,2000,2000,3000,5000,865,0,0.125057042,874.9429584
